Car Name,Car Link,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Options,Engine (cc)
Toyota Axio G Grade 2007 Car,https://riyasewana.com/buy/toyota-axio-g-sale-kalutara-7525281,"Rs. 6,875,000",Toyota,Axio G Grade,2007,202000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Renault Kwid 2018 Car,https://riyasewana.com/buy/renault-kwid-sale-nittambuwa-7525279,"Rs. 2,895,000",Renault,Kwid,2018,16100,Manual,Petrol,-,1000
Toyota Aqua G Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-malabe-7525277,"Rs. 6,500,000",Toyota,Aqua G Grade,2012,140000,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Nissan Sylphy FG10 2001 Car,https://riyasewana.com/buy/nissan-sylphy-fg10-sale-gampaha-7525272,"Rs. 3,485,000",Nissan,Sylphy FG10,2001,165000,Automatic,Petrol,"AIR CONDITION, POWER MIRROR, POWER WINDOW",1500
Suzuki Alto 2012 Car,https://riyasewana.com/buy/suzuki-alto-sale-matara-7525268,"Rs. 2,365,000",Suzuki,Alto,2012,96000,Manual,Petrol,"AIR CONDITION, POWER STEERING",800
Suzuki Alto 2011 Car,https://riyasewana.com/buy/suzuki-alto-sale-wattala-7525263,"Rs. 2,275,000",Suzuki,Alto,2011,118960,Manual,Petrol,"AIR CONDITION, POWER STEERING",800
Nissan FB15 2000 Car,https://riyasewana.com/buy/nissan-fb15-sale-kegalle-7525261,"Rs. 2,890,000",Nissan,FB15,2000,184200,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Suzuki Maruti 1996 Car,https://riyasewana.com/buy/suzuki-maruti-sale-divulapitiya-7525257,"Rs. 1,000,000",Suzuki,Maruti,1996,111111,Manual,Petrol,AIR CONDITION,800
Toyota Premio 2019 Car,https://riyasewana.com/buy/toyota-premio-sale-malabe-7525251,"Rs. 19,500,000",Toyota,Premio,2019,52000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Mercedes-Benz E240 2005 Car,https://riyasewana.com/buy/mercedes-benz-e240-sale-kolonnawa-7525250,"Rs. 7,650,000",Mercedes-Benz,E240,2005,70000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1975
Toyota Premio 2008 Car,https://riyasewana.com/buy/toyota-premio-sale-kandy-7525248,"Rs. 9,200,000",Toyota,Premio,2008,140000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1800
Nissan Leaf G Grade AZE0 Aero Style 2014 Car,https://riyasewana.com/buy/nissan-leaf-g-sale-kandy-7525242,"Rs. 5,400,000",Nissan,Leaf G Grade,2014,128000,Automatic,Electric,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",70
Toyota Premio G Superior 2018 Car,https://riyasewana.com/buy/toyota-premio-g-sale-veyangoda-7525241,Negotiable,Toyota,Premio G Superior,2018,69000,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Toyota AXIO WXB 2017 Car,https://riyasewana.com/buy/toyota-axio-wxb-sale-kaduwela-7525237,Negotiable,Toyota,AXIO WXB,2017,88000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Renault Kwid RXT 2016 Car,https://riyasewana.com/buy/renault-kwid-rxt-sale-negombo-7525233,Negotiable,Renault,Kwid RXT,2016,100035,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",800
Toyota Vitz 2015 Car,https://riyasewana.com/buy/toyota-vitz-sale-ratnapura-7525211,"Rs. 6,950,000",Toyota,Vitz,2015,-,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Micro Panda 2016 Car,https://riyasewana.com/buy/micro-panda-sale-kottawa-7525201,"Rs. 2,850,000",Micro,Panda,2016,22000,Manual,Petrol,-,1300
Suzuki Alto 2015 Car,https://riyasewana.com/buy/suzuki-alto-sale-divulapitiya-7525195,"Rs. 3,375,000",Suzuki,Alto,2015,25000,Manual,Petrol,-,-
Toyota Axio G Grade 2016 Car,https://riyasewana.com/buy/toyota-axio-g-sale-colombo-7525194,Negotiable,Toyota,Axio G Grade,2016,147000,Automatic,Hybrid,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Suzuki Wagon R FZ Safety 2016 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-ja-ela-7525190,"Rs. 4,850,000",Suzuki,Wagon R FZ Safety,2016,76300,Automatic,Hybrid,-,660
